Attribute,Value
file_name,AS 01~TA44942BO
file_path,C:\Users\Seai_\Desktop\seai_workspace\sushma_force_test\DATA\AS 01~TA44942BO
file_size,866
decode_time,2025-03-18T10:48:08.982649
decoded_by,LabVIEWDatabaseDecoder
